x,y,tree-state,burn-counter,fire-intensity,max-burn-counter
51,-90,empty,0,0,0
-115,98,empty,0,0,0
120,12,empty,0,0,0
-99,55,empty,0,0,0
91,43,empty,0,0,0
68,19,unaffected,0,0,65
12,78,unaffected,0,0,87
47,56,empty,0,0,0
81,53,empty,0,0,0
-12,-32,empty,0,0,0
-88,-5,empty,0,0,0
88,102,unaffected,0,0,35
73,-99,unaffected,0,0,50
59,3,unaffected,0,0,50
77,78,empty,0,0,0
-122,97,unaffected,0,0,42
-107,-81,empty,0,0,0
-80,-91,unaffected,0,0,74
97,50,empty,0,0,0
70,1,unaffected,0,0,105
-4,-54,unaffected,0,0,97
1,-112,unaffected,0,0,66
103,95,unaffected,0,0,78
0,-87,empty,0,0,0
-69,71,unaffected,0,0,80
44,100,unaffected,0,0,41
-18,68,unaffected,0,0,60
82,7,empty,0,0,0
-110,49,empty,0,0,0
-18,-17,empty,0,0,0
50,0,unaffected,0,0,71
100,-99,empty,0,0,0
-3,-61,unaffected,0,0,63
20,113,unaffected,0,0,62
-86,-81,unaffected,0,0,45
-106,98,unaffected,0,0,85
-62,0,unaffected,0,0,73
-73,-61,unaffected,0,0,97
108,31,unaffected,0,0,90
-13,-94,unaffected,0,0,49
93,-102,empty,0,0,0
46,-119,unaffected,0,0,59
-20,64,unaffected,0,0,92
-44,-122,empty,0,0,0
3,49,unaffected,0,0,38
6,16,empty,0,0,0
-121,-25,unaffected,0,0,57
72,-86,unaffected,0,0,54
109,19,unaffected,0,0,59
84,-23,unaffected,0,0,44
-77,-115,empty,0,0,0
30,-54,empty,0,0,0
-97,-81,empty,0,0,0
13,-25,unaffected,0,0,82
-17,-6,empty,0,0,0
-53,-21,unaffected,0,0,62
50,-95,unaffected,0,0,51
74,-76,unaffected,0,0,90
-24,-59,empty,0,0,0
-98,118,unaffected,0,0,103
-41,-77,unaffected,0,0,91
93,-118,unaffected,0,0,51
106,33,unaffected,0,0,83
-120,73,unaffected,0,0,102
7,-101,unaffected,0,0,83
-120,-102,empty,0,0,0
84,71,empty,0,0,0
-45,-117,unaffected,0,0,104
35,89,empty,0,0,0
-49,-6,empty,0,0,0
105,-112,empty,0,0,0
-115,-59,empty,0,0,0
-1,38,empty,0,0,0
94,81,unaffected,0,0,43
78,20,empty,0,0,0
4,121,empty,0,0,0
116,-59,unaffected,0,0,105
31,-42,empty,0,0,0
55,-73,empty,0,0,0
73,64,empty,0,0,0
-8,-72,unaffected,0,0,42
48,-65,empty,0,0,0
-109,-110,unaffected,0,0,75
98,-118,unaffected,0,0,63
77,-86,unaffected,0,0,85
56,66,unaffected,0,0,71
-116,-112,empty,0,0,0
-112,-113,unaffected,0,0,93
18,-88,empty,0,0,0
96,94,unaffected,0,0,72
-121,31,empty,0,0,0
-89,-89,unaffected,0,0,41
113,46,empty,0,0,0
112,-122,empty,0,0,0
-39,-2,unaffected,0,0,70
63,124,empty,0,0,0
90,-109,unaffected,0,0,39
26,-49,empty,0,0,0
7,99,empty,0,0,0
-100,46,empty,0,0,0
95,-17,unaffected,0,0,65
4,-121,unaffected,0,0,53
123,107,unaffected,0,0,39
67,-17,unaffected,0,0,62
17,11,empty,0,0,0
-117,76,unaffected,0,0,81
31,63,unaffected,0,0,48
-45,112,empty,0,0,0
106,26,unaffected,0,0,54
74,55,unaffected,0,0,99
50,-10,unaffected,0,0,71
11,43,unaffected,0,0,95
74,-71,unaffected,0,0,62
-100,-42,empty,0,0,0
93,34,unaffected,0,0,64
23,45,unaffected,0,0,77
-41,-85,empty,0,0,0
-98,125,unaffected,0,0,105
27,78,unaffected,0,0,92
39,53,unaffected,0,0,91
-87,-49,unaffected,0,0,103
-65,-46,unaffected,0,0,41
-60,-68,unaffected,0,0,41
-106,-84,unaffected,0,0,95
1,-69,empty,0,0,0
55,-70,empty,0,0,0
-95,-95,empty,0,0,0
-110,-18,empty,0,0,0
-34,122,unaffected,0,0,103
-4,70,unaffected,0,0,83
-110,-100,unaffected,0,0,42
-73,89,unaffected,0,0,63
35,-105,empty,0,0,0
88,-111,empty,0,0,0
-54,-100,unaffected,0,0,65
-7,-70,unaffected,0,0,55
92,50,unaffected,0,0,57
-36,67,unaffected,0,0,82
14,33,empty,0,0,0
25,11,empty,0,0,0
91,-29,unaffected,0,0,85
53,-7,unaffected,0,0,48
68,-62,unaffected,0,0,80
112,89,unaffected,0,0,54
-62,-11,unaffected,0,0,36
26,-110,unaffected,0,0,84
36,-19,unaffected,0,0,66
50,25,unaffected,0,0,48
50,20,empty,0,0,0
-70,-105,empty,0,0,0
121,26,empty,0,0,0
124,11,unaffected,0,0,87
29,0,unaffected,0,0,44
6,117,unaffected,0,0,78
-21,-69,unaffected,0,0,71
-33,36,unaffected,0,0,93
88,37,empty,0,0,0
15,38,unaffected,0,0,87
-32,69,empty,0,0,0
104,10,unaffected,0,0,76
96,5,unaffected,0,0,72
-23,-1,unaffected,0,0,64
-17,63,empty,0,0,0
-47,42,empty,0,0,0
-41,-100,unaffected,0,0,71
35,-114,empty,0,0,0
121,10,unaffected,0,0,54
108,76,unaffected,0,0,104
40,-73,empty,0,0,0
-80,68,unaffected,0,0,84
-125,96,unaffected,0,0,94
-13,-7,unaffected,0,0,59
-88,-11,unaffected,0,0,66
-107,114,unaffected,0,0,69
-1,-88,empty,0,0,0
-115,110,empty,0,0,0
124,-49,unaffected,0,0,59
-60,54,unaffected,0,0,63
-86,-8,empty,0,0,0
31,48,unaffected,0,0,46
-26,30,unaffected,0,0,81
-72,75,unaffected,0,0,40
-42,-20,unaffected,0,0,76
-54,21,unaffected,0,0,57
-83,31,unaffected,0,0,67
-66,-35,empty,0,0,0
-86,-29,empty,0,0,0
101,-43,empty,0,0,0
-70,17,empty,0,0,0
-77,10,unaffected,0,0,83
-16,-44,empty,0,0,0
53,108,empty,0,0,0
24,-105,empty,0,0,0
-15,105,empty,0,0,0
98,-36,empty,0,0,0
-113,28,unaffected,0,0,55
1,106,empty,0,0,0
72,-122,unaffected,0,0,36
2,17,empty,0,0,0
-42,-105,unaffected,0,0,56
17,-16,unaffected,0,0,67
122,31,unaffected,0,0,97
-79,-17,empty,0,0,0
114,113,empty,0,0,0
-66,9,empty,0,0,0
-107,118,empty,0,0,0
-88,119,empty,0,0,0
-29,71,unaffected,0,0,80
55,-107,unaffected,0,0,35
-116,31,empty,0,0,0
-3,24,empty,0,0,0
89,109,empty,0,0,0
-67,32,unaffected,0,0,97
-21,108,unaffected,0,0,80
-89,82,empty,0,0,0
-7,-91,unaffected,0,0,49
-40,-21,empty,0,0,0
-122,71,unaffected,0,0,36
-42,119,empty,0,0,0
-4,74,empty,0,0,0
3,43,empty,0,0,0
-43,-1,unaffected,0,0,53
68,-114,unaffected,0,0,56
83,112,unaffected,0,0,63
-125,2,empty,0,0,0
-62,35,unaffected,0,0,99
-82,3,empty,0,0,0
-64,75,unaffected,0,0,105
73,75,unaffected,0,0,98
25,-114,empty,0,0,0
-57,-112,unaffected,0,0,40
9,46,unaffected,0,0,96
112,86,empty,0,0,0
62,-30,empty,0,0,0
0,-86,unaffected,0,0,70
2,-45,unaffected,0,0,71
-37,-9,empty,0,0,0
32,-116,empty,0,0,0
124,106,empty,0,0,0
124,-92,unaffected,0,0,81
44,-22,unaffected,0,0,105
-109,-104,empty,0,0,0
-121,-94,unaffected,0,0,84
53,-95,empty,0,0,0
56,81,empty,0,0,0
90,-49,empty,0,0,0
-90,-75,unaffected,0,0,71
21,-113,empty,0,0,0
-35,-75,unaffected,0,0,92
57,-27,unaffected,0,0,103
49,106,unaffected,0,0,94
-23,30,unaffected,0,0,52
92,-93,unaffected,0,0,35
-95,-102,unaffected,0,0,80
-37,42,empty,0,0,0
-84,-121,unaffected,0,0,59
63,3,unaffected,0,0,38
121,-28,unaffected,0,0,96
88,-71,unaffected,0,0,59
124,79,unaffected,0,0,51
-18,-26,empty,0,0,0
51,51,empty,0,0,0
-118,67,unaffected,0,0,99
76,-16,empty,0,0,0
-66,1,empty,0,0,0
74,51,unaffected,0,0,59
-34,94,empty,0,0,0
-90,-69,unaffected,0,0,97
-88,42,empty,0,0,0
-106,-42,unaffected,0,0,57
41,107,empty,0,0,0
3,-3,empty,0,0,0
84,-70,empty,0,0,0
-28,20,unaffected,0,0,42
-115,17,empty,0,0,0
-120,0,unaffected,0,0,101
-51,-55,empty,0,0,0
-30,-34,empty,0,0,0
45,-125,unaffected,0,0,74
97,110,empty,0,0,0
57,-63,unaffected,0,0,36
72,118,empty,0,0,0
-59,3,unaffected,0,0,82
64,100,empty,0,0,0
3,111,empty,0,0,0
-50,14,unaffected,0,0,60
32,25,empty,0,0,0
-25,111,unaffected,0,0,74
-92,109,unaffected,0,0,50
95,2,unaffected,0,0,35
17,20,empty,0,0,0
-68,-63,empty,0,0,0
-94,26,empty,0,0,0
-74,106,unaffected,0,0,65
-17,-24,unaffected,0,0,44
34,33,unaffected,0,0,60
103,-98,unaffected,0,0,91
-98,-17,empty,0,0,0
92,48,unaffected,0,0,83
-44,79,unaffected,0,0,66
54,-50,empty,0,0,0
-124,-67,unaffected,0,0,57
-55,39,empty,0,0,0
-89,17,unaffected,0,0,101
-78,-28,empty,0,0,0
61,46,unaffected,0,0,80
-108,15,unaffected,0,0,49
-23,80,unaffected,0,0,60
85,111,empty,0,0,0
-79,-65,empty,0,0,0
118,-75,unaffected,0,0,82
34,6,unaffected,0,0,71
18,-125,empty,0,0,0
-67,-40,empty,0,0,0
118,17,unaffected,0,0,74
-34,-13,unaffected,0,0,90
-21,-60,unaffected,0,0,74
58,94,empty,0,0,0
-2,-7,empty,0,0,0
51,-55,empty,0,0,0
101,-92,empty,0,0,0
69,56,empty,0,0,0
-60,6,unaffected,0,0,85
-20,13,unaffected,0,0,60
21,-77,empty,0,0,0
-101,21,unaffected,0,0,39
-113,-115,unaffected,0,0,45
23,-25,empty,0,0,0
81,118,empty,0,0,0
80,-48,unaffected,0,0,99
42,85,unaffected,0,0,94
74,-65,unaffected,0,0,77
-41,44,unaffected,0,0,56
88,-1,empty,0,0,0
111,25,empty,0,0,0
-83,-64,unaffected,0,0,50
88,-18,unaffected,0,0,52
85,60,empty,0,0,0
-120,11,empty,0,0,0
36,44,unaffected,0,0,98
-92,-67,empty,0,0,0
-37,-49,unaffected,0,0,81
87,-105,empty,0,0,0
19,39,unaffected,0,0,104
-70,28,unaffected,0,0,49
10,123,unaffected,0,0,61
-118,-92,unaffected,0,0,80
-116,93,unaffected,0,0,103
-95,-86,unaffected,0,0,44
-88,97,unaffected,0,0,98
-98,-124,unaffected,0,0,92
-26,34,unaffected,0,0,87
-19,95,unaffected,0,0,41
44,-4,unaffected,0,0,46
21,80,empty,0,0,0
111,63,unaffected,0,0,56
-10,-84,unaffected,0,0,84
116,-51,unaffected,0,0,95
-74,-30,unaffected,0,0,60
53,26,unaffected,0,0,88
99,-94,empty,0,0,0
-26,-114,unaffected,0,0,62
-48,-38,unaffected,0,0,53
51,-38,empty,0,0,0
-45,-90,empty,0,0,0
-15,42,empty,0,0,0
-108,-9,unaffected,0,0,48
76,71,unaffected,0,0,88
57,104,empty,0,0,0
-111,-110,empty,0,0,0
-114,28,empty,0,0,0
30,54,unaffected,0,0,76
32,-16,empty,0,0,0
-38,111,unaffected,0,0,50
46,-121,unaffected,0,0,97
-75,-49,empty,0,0,0
97,-31,unaffected,0,0,52
-24,94,unaffected,0,0,61
-73,106,empty,0,0,0
79,83,unaffected,0,0,38
-41,12,unaffected,0,0,60
-54,-114,empty,0,0,0
-120,-64,empty,0,0,0
-107,-36,unaffected,0,0,71
18,60,unaffected,0,0,38
103,-87,unaffected,0,0,46
123,-62,unaffected,0,0,83
-100,-120,empty,0,0,0
112,-82,empty,0,0,0
37,-26,unaffected,0,0,96
56,-28,unaffected,0,0,45
14,-36,unaffected,0,0,74
30,53,unaffected,0,0,55
54,67,empty,0,0,0
61,-57,unaffected,0,0,90
78,-111,unaffected,0,0,78
-96,84,unaffected,0,0,97
18,103,empty,0,0,0
70,26,empty,0,0,0
-96,112,unaffected,0,0,87
65,102,unaffected,0,0,54
12,13,unaffected,0,0,97
-82,117,empty,0,0,0
-114,-119,empty,0,0,0
86,-27,unaffected,0,0,67
-80,85,unaffected,0,0,84
64,-113,empty,0,0,0
76,-113,empty,0,0,0
79,-19,unaffected,0,0,64
-56,-4,unaffected,0,0,62
-48,-77,unaffected,0,0,83
-104,80,empty,0,0,0
-78,-13,unaffected,0,0,94
125,86,unaffected,0,0,95
-80,62,unaffected,0,0,85
-113,-80,unaffected,0,0,75
-95,2,empty,0,0,0
108,123,empty,0,0,0
-109,16,empty,0,0,0
121,-25,unaffected,0,0,64
114,30,unaffected,0,0,97
-44,-2,empty,0,0,0
-124,-105,empty,0,0,0
113,-22,unaffected,0,0,91
-68,-25,unaffected,0,0,44
-45,-51,unaffected,0,0,65
15,63,unaffected,0,0,105
64,1,empty,0,0,0
96,92,unaffected,0,0,41
-118,-58,empty,0,0,0
122,15,unaffected,0,0,82
9,-50,unaffected,0,0,73
-48,-36,unaffected,0,0,99
-87,-102,empty,0,0,0
27,42,unaffected,0,0,62
77,74,unaffected,0,0,52
-7,-4,unaffected,0,0,83
-80,-29,empty,0,0,0
-115,-112,unaffected,0,0,35
101,-70,unaffected,0,0,73
115,78,unaffected,0,0,39
123,-2,unaffected,0,0,77
-113,57,empty,0,0,0
34,-73,unaffected,0,0,36
-110,-19,unaffected,0,0,88
-27,-104,unaffected,0,0,74
84,121,unaffected,0,0,77
117,16,unaffected,0,0,84
-101,124,unaffected,0,0,65
78,-17,unaffected,0,0,76
113,93,unaffected,0,0,82
-34,-15,empty,0,0,0
40,-28,unaffected,0,0,45
82,-74,unaffected,0,0,92
-8,10,empty,0,0,0
52,-79,unaffected,0,0,38
32,-66,unaffected,0,0,40
86,29,unaffected,0,0,70
-80,112,empty,0,0,0
-9,-42,unaffected,0,0,65
95,119,unaffected,0,0,52
9,20,unaffected,0,0,48
-93,-51,empty,0,0,0
-7,10,empty,0,0,0
-96,27,empty,0,0,0
45,89,unaffected,0,0,48
